doctor_id,first_name,last_name,birth_date,gender,contact,specialty,department_id,hire_date
DOC-103924,Walter,Jackson,1989-12-22,M,+1-787-884-9663x2948,Psychiatrist,DEP-013,2000-02-21
DOC-104068,Tammy,Cortez,1994-12-03,F,+1-958-070-9288x6670,Perinatologist,DEP-020,2008-06-18
DOC-104209,Robert,Mendoza,1993-06-12,NB,439.478.6261x011,Pediatrician,DEP-020,2017-02-20
DOC-108938,Olivia,Swanson,1997-10-10,F,826.027.0472x6546,Vascular Surgeon,DEP-005,2004-03-29
DOC-110690,Robert,Hughes,1957-01-09,M,+1-584-945-1507x696,Immunologist,DEP-008,2017-03-25
DOC-113771,Christina,Williams,1991-06-03,NB,(453)809-7832,Pulmonologist,DEP-001,2009-11-18
DOC-123675,Rebecca,Jacobson,1982-06-23,F,+1-082-835-7119x483,Neurologist,DEP-008,2025-10-27
DOC-126842,Mike,Camacho,1978-08-18,M,231.881.4897,Endocrinologist,DEP-020,2002-07-26
DOC-130075,Gregory,Harris,1968-12-15,M,604-999-6329x174,Colorectal Surgeon,DEP-002,2026-06-01
DOC-138555,Mary,Fleming,1993-02-22,F,340.096.5094,Immunologist,DEP-008,2021-08-22
DOC-139863,Andrew,Thomas,1957-07-18,M,550-681-9967x0901,Radiologist,DEP-020,2001-10-10
DOC-140462,Christopher,Thomas,1969-03-16,M,(931)983-7493x71152,Otolaryngologist,DEP-020,2019-09-03
DOC-145381,David,Davis,1972-08-13,M,470.395.4053x64497,Ophthalmologist,DEP-015,2025-03-20
DOC-154721,Julian,Porter,1985-05-22,M,(075)404-5472,Anesthesiologist,DEP-005,2022-01-25
DOC-154838,Anthony,Oneal,1969-11-12,M,521.774.6857x89306,Rheumatologist,DEP-020,2000-05-11
DOC-163016,Renee,Ayala,1996-10-13,F,(344)545-5223x97956,Trauma Surgeon,DEP-020,2014-11-10
DOC-173228,David,Farmer,1967-01-03,M,(181)267-7427,Perinatologist,DEP-020,2016-11-21
DOC-173632,Sherri,Pierce,1969-06-14,F,885-105-0764x13078,Neurologist,DEP-015,2024-10-01
DOC-173667,Joseph,Bailey,1958-12-18,M,001-206-241-7423x460,Intensivist,DEP-015,2021-09-19
DOC-176819,Tricia,Haas,1991-12-10,F,(626)192-3344x8846,Rheumatologist,DEP-015,2018-02-14
DOC-183031,Renee,Rodriguez,1960-08-28,F,(976)523-1840x93108,Hospitalist,DEP-020,2025-03-16
DOC-183675,Aaron,Willis,1967-07-25,M,030.666.6354x475,Anesthesiologist,DEP-020,2016-03-04
DOC-191713,Shawn,Robinson,1965-03-21,M,192.283.6775x678,Neurologist,DEP-006,2003-02-18
DOC-195377,Joshua,Dickerson,1963-04-28,M,+1-388-713-8181x1812,Anesthesiologist,DEP-020,2026-01-13
DOC-198183,Samantha,Roberts,1981-11-11,F,4830684757,Pediatrician,DEP-005,2024-08-12
DOC-203336,Catherine,Snyder,1987-08-28,F,(934)435-1133,Hematologist,DEP-016,2023-09-09
DOC-203404,Sharon,Bowers,1990-12-27,F,262.999.2624,Oncologist,DEP-010,2026-06-20
DOC-203861,Joseph,Mcintosh,1992-11-16,M,001-352-249-4799x347,Oncologist,DEP-020,2016-11-02
DOC-203881,James,Schroeder,1969-10-29,M,(750)989-0929,Intensivist,DEP-001,2012-08-11
DOC-206749,Patrick,Sharp,1959-06-23,M,970.540.5124,Trauma Surgeon,DEP-020,2026-05-09
DOC-207537,Nancy,Jenkins,1997-06-12,F,670-979-1154,Endocrinologist,DEP-002,2003-08-26
DOC-210331,Tasha,Thomas,1967-06-24,F,(129)659-3396,Urologist,DEP-020,2017-09-12
DOC-210874,Barbara,Russell,1987-01-10,F,(963)816-7374x158,Internist,DEP-020,2014-12-29
DOC-214022,Victor,Hall,1985-06-22,M,001-220-521-9770x205,Otolaryngologist,DEP-008,2005-10-13
DOC-214346,Todd,Peters,1962-11-25,M,(547)441-4375,Neonatologist,DEP-002,2025-09-29
DOC-215566,Ashley,Johnston,1960-05-19,F,(326)558-4665,Otolaryngologist,DEP-008,2011-02-24
DOC-216955,Steve,Stewart,1959-06-26,M,218-638-0578x957,Gynecologist,DEP-020,2021-11-13
DOC-217391,Kaitlin,Diaz,1964-09-20,F,+1-172-792-8415x9311,Neonatologist,DEP-002,2024-04-02
DOC-218549,Ryan,Obrien,1959-12-20,M,139.965.9684,Perinatologist,DEP-020,2003-07-31
DOC-220016,Timothy,Gallagher,1964-09-29,NB,997-529-4902x745,Otolaryngologist,DEP-020,2010-02-15
DOC-222420,Tanya,Howard,1985-04-28,F,5366597928,Colorectal Surgeon,DEP-002,2001-04-07
DOC-223493,Amanda,Padilla,1957-10-21,F,001-384-807-4025x806,Pediatrician,DEP-008,2003-06-10
DOC-224835,Justin,Robinson,1972-01-28,M,243.119.8772,Rheumatologist,DEP-015,2021-08-28
DOC-227777,Andrea,Colon,1989-01-05,F,6113411324,Endocrinologist,DEP-002,2017-06-10
DOC-227942,Gabriel,Steele,1977-06-20,M,003-887-5124,Urologist,DEP-008,2010-09-07
DOC-231115,Toni,Hunt,1960-03-13,F,664-798-6565x898,Pulmonologist,DEP-001,2022-11-10
DOC-231613,Jeffery,Howell,1966-03-09,M,(617)291-3241x7173,Internist,DEP-020,2002-08-03
DOC-233306,Shannon,Williams,1993-11-04,F,+1-203-598-1773,Anesthesiologist,DEP-020,2000-06-04
DOC-244017,John,Hughes,1994-10-07,M,+1-271-269-0222x0089,Anesthesiologist,DEP-002,2022-05-01
DOC-245880,Steven,Welch,1969-12-11,M,+1-231-909-1232x539,Neurosurgeon,DEP-006,2005-09-01
DOC-249751,James,Keller,1986-06-13,M,902-347-0759x0799,Neurosurgeon,DEP-002,2025-06-16
DOC-251129,Danny,Diaz,1994-10-24,M,093.309.8805,Internist,DEP-005,2023-04-11
DOC-252774,Susan,Robertson,1980-02-16,F,328.816.3508,Neonatologist,DEP-002,2010-08-09
DOC-254510,Lauren,Alexander,1986-03-03,F,469-626-6171x795,Obstetrician,DEP-002,2016-11-28
DOC-257009,James,Carson,1987-05-31,M,+1-799-394-7622x4777,Pediatrician,DEP-020,2020-12-13
DOC-258454,Briana,Edwards,1989-06-05,F,(458)533-0317x86017,Trauma Surgeon,DEP-002,2019-02-10
DOC-258599,Sarah,Mosley,1996-12-23,NB,350.525.5619x9979,Orthopedic Surgeon,DEP-002,2020-05-06
DOC-259573,Theresa,Mendoza,1990-05-05,F,001-053-627-8951x751,Urologist,DEP-002,2022-12-27
DOC-262788,Kathy,Miles,1961-09-24,F,561-702-9193,Rheumatologist,DEP-015,2008-12-14
DOC-264181,Nathaniel,Young,1960-02-09,M,(185)676-3532x50281,Urologist,DEP-002,2021-11-25
DOC-267366,Larry,Little,1984-07-29,M,(019)319-8326,Pathologist,DEP-019,2026-04-09
DOC-269179,Loretta,Bryant,1988-04-02,F,242.495.0675,Hematologist,DEP-002,2019-06-20
DOC-271396,David,Doyle,1986-01-30,M,518-292-7269x673,Immunologist,DEP-002,2022-12-03
DOC-272586,Michelle,Williams,1984-10-31,F,+1-185-673-4071x073,Pathologist,DEP-005,2021-04-09
DOC-273996,Nicholas,Cannon,1962-10-27,M,223-563-1584,Radiologist,DEP-001,2005-08-31
DOC-278590,Chelsea,Hernandez,1962-12-02,F,001-867-649-2943x816,Emergency Medicine,DEP-005,2001-12-18
DOC-280772,Bryan,Benitez,1958-03-02,M,001-137-896-5202x760,Neurologist,DEP-008,2023-04-30
DOC-281096,Mariah,Massey,1963-08-21,F,539-175-7683x64937,Endocrinologist,DEP-020,2005-06-02
DOC-281201,Robert,Perez,1976-01-27,M,1803446786,Colorectal Surgeon,DEP-020,2008-03-03
DOC-286207,Stanley,Allison,1997-03-22,M,791-770-7257,Perinatologist,DEP-009,2007-11-19
DOC-289444,Martin,Holland,1996-05-04,M,380.178.7976x375,Ophthalmologist,DEP-002,2023-12-16
DOC-291793,Karen,Hernandez,1994-01-17,F,+1-825-271-2433x8179,Urologist,DEP-020,2001-08-24
DOC-292114,Michelle,White,1981-04-01,F,(688)838-5640x991,Cardiothoracic Surgeon,DEP-003,2008-12-04
DOC-299419,Edward,Gonzalez,1997-09-19,M,(127)943-4736x72480,Trauma Surgeon,DEP-002,2003-11-25
DOC-299580,Derrick,Kennedy,1976-08-13,M,001-328-293-7312x629,Gastroenterologist,DEP-011,2015-05-07
DOC-304537,Francisco,Brown,1989-08-15,M,444-756-8172,Rheumatologist,DEP-005,2012-12-25
DOC-304709,Cody,Ballard,1975-09-24,M,(770)803-3916x412,Internist,DEP-005,2006-12-24
DOC-305052,Charlene,Rodriguez,1997-12-04,F,(096)075-8625,Oncologist,DEP-020,2008-11-10
DOC-312958,David,Massey,1957-11-07,M,558-534-4070,Radiologist,DEP-001,2022-07-14
DOC-313953,Shannon,Ritter,1980-07-16,F,(517)908-8756x44842,Cardiothoracic Surgeon,DEP-002,2000-01-02
DOC-315825,Charles,Mills,1973-05-19,M,(579)448-6530x271,Perinatologist,DEP-009,2007-08-29
DOC-324658,Laura,Cochran,1967-04-16,F,4283260058,Gynecologist,DEP-002,2020-07-10
DOC-326503,Chad,Hardin,1964-03-21,M,(992)673-4875,Gynecologist,DEP-002,2006-11-06
DOC-327312,Glen,Smith,1985-05-03,M,086.436.8940x69074,Otolaryngologist,DEP-020,2026-02-15
DOC-327709,Caroline,Yates,1986-06-28,F,911.926.5684x139,Endocrinologist,DEP-020,2013-06-04
DOC-340935,Cheryl,Clark,1962-11-08,NB,(138)775-3298x602,Obstetrician,DEP-002,2005-08-03
DOC-345676,Michelle,Pennington,1996-04-01,F,058.558.2917x4018,Oncologist,DEP-015,2024-06-02
DOC-347300,Thomas,Nunez,1962-03-10,M,(156)433-5574,Vascular Surgeon,DEP-020,2009-09-04
DOC-348199,Andrea,Thomas,1972-08-11,F,+1-968-731-2747x1260,Colorectal Surgeon,DEP-004,2006-01-09
DOC-349444,Nicole,Clark,1972-10-16,F,3175675828,Internist,DEP-002,2018-08-26
DOC-350569,David,Johnson,1965-08-06,M,(576)126-5936x616,Gastroenterologist,DEP-015,2020-07-14
DOC-353457,Latoya,Taylor,1985-11-06,F,046-587-5029,Oncologist,DEP-002,2004-04-14
DOC-356596,Amy,Smith,1986-01-17,F,001-022-855-3299x240,Gastroenterologist,DEP-015,2021-12-01
DOC-357903,Ronald,Hernandez,1962-10-16,M,(549)252-9693,Neurologist,DEP-008,2018-01-09
DOC-360250,Andrew,Wilson,1981-08-25,M,(410)477-9479,Obstetrician,DEP-002,2011-09-10
DOC-360923,Nicole,Velasquez,1993-11-29,F,+1-559-040-8208,Rheumatologist,DEP-015,2010-01-10
DOC-361746,Daniel,Baker,1972-02-29,M,087.742.9395,Endocrinologist,DEP-002,2013-10-26
DOC-366627,Andre,Tyler,1977-02-18,M,+1-321-064-8033x6066,General Surgeon,DEP-002,2008-10-10
DOC-371528,Shawn,White,1955-12-09,M,(273)720-2636x9432,Psychiatrist,DEP-013,2007-06-28
DOC-376578,Erin,Chen,1995-11-27,F,+1-354-715-6648,Neonatologist,DEP-008,2015-08-02
DOC-377475,Anthony,Salas,1979-02-21,M,(762)534-2256,Intensivist,DEP-001,2000-03-28
DOC-378793,Nancy,May,1973-10-31,F,108.841.8668x782,Obstetrician,DEP-008,2001-09-28
DOC-381428,Carlos,Richard,1956-05-31,M,(051)119-1987,Neurologist,DEP-008,2009-07-17
DOC-386460,Tracy,Potter,1974-03-10,F,001-166-490-0129x919,General Surgeon,DEP-002,2007-03-26
DOC-389079,Brittany,Robertson,1969-10-11,F,+1-741-641-6465x7904,Emergency Medicine,DEP-001,2019-01-23
DOC-390923,Katelyn,Tucker,1981-11-25,F,+1-821-786-4038x7224,Cardiothoracic Surgeon,DEP-002,2019-10-19
DOC-394563,Dylan,Lopez,1957-03-17,M,(367)364-4581x31551,Pediatrician,DEP-008,2003-12-31
DOC-394591,Thomas,Burton,1969-06-21,M,(186)415-0281,Cardiothoracic Surgeon,DEP-003,2004-01-05
DOC-397501,Felicia,Carrillo,1967-07-08,F,5942352669,Hospitalist,DEP-001,2003-09-25
DOC-400233,Karen,Cole,1992-07-16,F,993.435.1778x4515,Hematologist,DEP-002,2024-02-22
DOC-401591,Christine,Harris,1968-01-13,F,001-596-761-1160x136,Perinatologist,DEP-002,2006-05-27
DOC-403796,Thomas,Moon,1986-01-03,M,001-232-012-7693x087,Endocrinologist,DEP-020,2003-09-26
DOC-405128,Benjamin,Lee,1994-02-06,M,534-011-4033,Psychiatrist,DEP-013,2001-01-23
DOC-406433,Jermaine,Davidson,1978-11-24,M,(364)218-8002,Perinatologist,DEP-008,2001-04-23
DOC-412884,Amy,Preston,1996-03-18,F,8729095997,Orthopedic Surgeon,DEP-020,2012-11-12
DOC-416084,Danielle,Mendoza,1958-09-29,F,001-148-753-3454x105,Neonatologist,DEP-020,2015-03-08
DOC-417644,Stefanie,Johnston,1970-01-16,F,(831)170-1099,Neonatologist,DEP-008,2005-04-06
DOC-418960,Melanie,Anderson,1988-03-19,F,+1-744-897-2174x4182,Gastroenterologist,DEP-011,2005-04-30
DOC-421782,Clifford,Sutton,1994-12-13,M,+1-514-229-2642,Psychiatrist,DEP-013,2022-05-30
DOC-425646,Sean,Foley,1993-03-30,M,060-856-4146,Gastroenterologist,DEP-020,2009-06-29
DOC-425744,Vincent,Stanton,1955-10-28,M,784.787.4392,Otolaryngologist,DEP-008,2009-05-25
DOC-426915,Kenneth,Thompson,1998-04-13,M,5998451450,Hematologist,DEP-002,2000-08-11
DOC-428141,Erica,Owens,1990-08-12,F,+1-041-177-5561,Hematologist,DEP-020,2004-06-29
DOC-428418,John,Moore,1980-06-20,M,478.528.6696,Cardiologist,DEP-008,2011-02-07
DOC-433802,Jared,Carrillo,1955-10-06,M,672-606-7151x250,Rheumatologist,DEP-020,2007-07-19
DOC-436860,Paula,Martinez,1963-05-08,F,001-179-181-4889,Neurologist,DEP-008,2008-11-25
DOC-442116,Brenda,Fernandez,1995-04-07,F,885.792.2967,Pediatrician,DEP-001,2018-12-21
DOC-442820,Brian,Meadows,1993-12-21,M,+1-810-666-0259,Pulmonologist,DEP-005,2021-02-10
DOC-453688,Mary,Walker,1965-01-05,F,(733)583-7408,Hospitalist,DEP-020,2007-04-29
DOC-455018,Eric,Rodriguez,1979-06-16,M,+1-699-694-7425x0838,Hematologist,DEP-020,2017-07-17
DOC-455546,Denise,Thompson,1973-07-03,F,867.062.5966,Pulmonologist,DEP-015,2019-10-08
DOC-456403,Michael,Gonzalez,1974-01-25,M,782.197.3977x4262,Trauma Surgeon,DEP-001,2003-05-15
DOC-456407,Shannon,Butler,1983-11-13,F,001-530-666-0588,Trauma Surgeon,DEP-001,2004-09-30
DOC-457380,Amy,Robinson,1973-02-19,F,(711)144-6200,Neurologist,DEP-006,2000-12-13
DOC-459887,Deanna,Rodriguez,1981-02-05,F,(743)877-1501,Otolaryngologist,DEP-002,2003-08-03
DOC-462696,Dennis,Sanchez,1981-12-01,M,261.904.7938x009,Otolaryngologist,DEP-020,2011-07-22
DOC-464475,Adam,Elliott,1961-12-25,M,782-086-0484x5673,Trauma Surgeon,DEP-020,2021-09-25
DOC-466841,Jeff,Miller,1976-09-16,M,672-274-7392x9155,Neurologist,DEP-006,2014-06-05
DOC-467028,Steven,Moore,1966-09-02,M,(311)537-8339,Cardiologist,DEP-008,2017-08-06
DOC-469036,Paul,Garcia,1960-09-29,M,(174)615-7471,Ophthalmologist,DEP-002,2012-01-17
DOC-469128,Kimberly,Meyer,1993-05-13,F,(472)305-1523x515,Emergency Medicine,DEP-002,2025-04-13
DOC-470055,Susan,Hogan,1984-05-28,F,(516)432-8623,Pathologist,DEP-020,2026-07-25
DOC-472843,Joseph,Houston,1971-03-26,M,(258)301-4020,Obstetrician,DEP-008,2003-02-20
DOC-473598,Joshua,Neal,1959-03-03,M,(014)066-3431x6944,Urologist,DEP-014,2009-06-20
DOC-478074,Lynn,Mitchell,1972-10-17,F,885.557.7441x571,Oncologist,DEP-002,2013-03-02
DOC-486480,Derek,Martin,1998-04-14,M,926.522.4823x98496,Rheumatologist,DEP-020,2019-06-11
DOC-486798,Kevin,Orr,1983-01-02,M,+1-394-031-3328x403,Urologist,DEP-008,2020-02-15
DOC-487615,Eric,Mcdaniel,1967-07-10,M,(164)747-6030,Immunologist,DEP-005,2006-04-10
DOC-498615,Emily,Lindsey,1966-06-29,F,(965)550-4705x30779,Gastroenterologist,DEP-015,2001-07-19
DOC-502444,Sharon,Vaughan,1994-03-12,F,(887)306-6355x063,Psychiatrist,DEP-013,2012-12-07
DOC-503578,Zachary,Turner,1996-07-13,M,+1-597-752-7769x8136,Pathologist,DEP-019,2012-06-22
DOC-504308,Olivia,Wade,1958-11-27,F,097-541-7416x8851,Cardiothoracic Surgeon,DEP-003,2023-06-26
DOC-505495,Danielle,Rodriguez,1990-01-20,F,(021)309-4760x268,Pediatrician,DEP-005,2010-01-14
DOC-513050,Michele,Jackson,1967-06-08,F,331-966-2136,Otolaryngologist,DEP-002,2023-05-09
DOC-517268,Kevin,Montgomery,1972-10-12,M,(762)856-2829x15750,Vascular Surgeon,DEP-003,2022-11-14
DOC-517685,Jonathan,Sanders,1967-02-13,M,(493)536-3503,Rheumatologist,DEP-020,2002-04-26
DOC-518223,Felicia,Howard,1993-11-22,F,001-192-089-4299x879,Orthopedic Surgeon,DEP-007,2020-01-07
DOC-519506,Donna,Morgan,1981-04-27,F,280-613-1027x91972,General Surgeon,DEP-002,2004-06-10
DOC-520537,Rebecca,Williams,1991-10-14,F,+1-691-662-7168x6050,Psychiatrist,DEP-013,2014-10-10
DOC-528174,Christine,Brock,1972-03-12,F,(887)643-3968x5569,Gynecologist,DEP-020,2008-08-09
DOC-534636,Robert,Flores,1974-03-12,M,001-647-532-4654x498,Psychiatrist,DEP-013,2010-05-19
DOC-537042,Priscilla,Robertson,1974-05-28,NB,(855)816-5692x873,Oncologist,DEP-010,2004-05-06
DOC-540514,Danielle,Gallagher,1974-12-23,F,409-645-4831x016,Immunologist,DEP-005,2025-11-19
DOC-542213,Joshua,Castillo,1984-01-15,M,001-305-017-7024,Otolaryngologist,DEP-008,2004-07-08
DOC-548443,Angel,Cook,1959-12-09,M,+1-744-561-2989x821,Colorectal Surgeon,DEP-004,2012-05-18
DOC-551219,Christian,Beck,1965-06-08,M,7439296169,Colorectal Surgeon,DEP-004,2014-01-21
DOC-556585,Michael,Russell,1994-03-01,M,001-259-873-2297x066,Rheumatologist,DEP-015,2021-04-04
DOC-559113,Nicholas,Schwartz,1962-11-01,M,001-962-089-7719x511,Otolaryngologist,DEP-002,2021-03-24
DOC-559442,Elizabeth,Acosta,1980-11-11,F,+1-028-924-1280x9830,Ophthalmologist,DEP-020,2006-08-24
DOC-561454,Jacqueline,Davis,1989-11-26,F,+1-035-184-4780,Hospitalist,DEP-020,2000-01-28
DOC-561540,Lisa,King,1982-10-25,F,678-902-9920x04848,Neonatologist,DEP-008,2026-04-24
DOC-562450,Reginald,Golden,1971-02-28,M,(323)393-4771x698,Oncologist,DEP-002,2026-04-16
DOC-566845,Thomas,Christian,1991-05-23,M,001-775-828-8663x698,Neonatologist,DEP-008,2005-06-22
DOC-566894,Charles,Johnson,1959-01-09,M,(278)322-2836,Hospitalist,DEP-001,2011-01-26
DOC-569031,Eric,Terrell,1973-05-20,M,921-770-8638x42306,Otolaryngologist,DEP-020,2018-12-06
DOC-570953,Nathaniel,Sanchez,1959-07-01,M,+1-200-988-1404x584,Emergency Medicine,DEP-008,2019-01-02
DOC-571834,Luis,Green,1965-08-09,M,456-300-1352x67620,Cardiothoracic Surgeon,DEP-002,2011-05-06
DOC-574457,Amanda,Smith,1966-01-27,F,6488765187,Cardiothoracic Surgeon,DEP-003,2006-03-03
DOC-575494,Todd,Brown,1977-05-18,M,344-532-9711x5942,Hematologist,DEP-002,2008-05-08
DOC-579332,Anna,Thornton,1994-10-23,F,001-558-113-3966x091,Rheumatologist,DEP-015,2006-11-03
DOC-587006,Michael,Davis,1982-04-05,M,(219)584-6418,Gastroenterologist,DEP-011,2013-01-04
