employee_id,first_name,last_name,gender,position,department_id,contact,salary,hire_date
EMP-102854,Andrew,Shelton,M,Health Information Manager,,267.679.6335,76077.17,2010-07-06
EMP-102977,Andrea,Mitchell,F,Medical Coder,DEP-006,527-267-3895,42508.65,2015-01-22
EMP-104890,Tiffany,Brown,F,HR Coordinator,DEP-013,+1-531-245-4398x8187,62469.49,2025-06-22
EMP-105129,John,Tyler,M,Hospital Administrator,DEP-009,(966)778-7624,99764.28,2007-09-06
EMP-105732,Jeffrey,Robinson,M,HR Coordinator,,346.705.9698x0082,51512.64,2009-07-02
EMP-106933,Stephanie,Jimenez,F,Supply Chain Coordinator,DEP-018,+1-264-991-4297x280,49027.45,2017-04-10
EMP-109612,Robert,Johnson,NB,Facilities Manager,,+1-619-196-8024,72876.24,2023-02-02
EMP-115709,James,Parker,M,Facilities Manager,DEP-018,834-303-4055x89974,52149.7,2015-12-15
EMP-119359,Alex,Oliver,M,Patient Services Coordinator,DEP-001,761-117-6149x151,44055.32,2012-06-29
EMP-124119,Kelly,Greer,F,IT Analyst,DEP-011,010-922-8975x161,72580.66,2016-12-11
EMP-124955,Alicia,Hawkins,F,Hospital Administrator,DEP-004,(473)896-3272x23156,148499.7,2012-12-30
EMP-127049,Stephen,Boyer,M,Quality Assurance Analyst,DEP-013,(857)611-2418x072,63544.2,2011-06-05
EMP-127435,James,Hampton,M,Supply Chain Coordinator,DEP-017,589.976.8452,54854.62,2017-04-03
EMP-128086,Heather,Morales,F,Compliance Officer,DEP-019,896.043.9078,88336.78,2006-09-19
EMP-128139,Richard,Freeman,M,IT Analyst,DEP-014,413.353.7783x92756,69251.83,2012-09-03
EMP-129293,Cody,Rodriguez,M,IT Analyst,DEP-011,233.840.9481x284,85469.46,2025-10-28
EMP-130234,Melissa,Martin,NB,Medical Receptionist,DEP-001,748.653.1595x069,42972.08,2023-01-31
EMP-133852,Kirk,Morris,M,Patient Services Coordinator,,001-331-238-9232x940,47274.79,2006-07-27
EMP-134717,Rhonda,Harrison,F,Supply Chain Coordinator,DEP-019,(951)481-7445x0429,66498.15,2016-10-11
EMP-135187,Ashley,Foster,F,Compliance Officer,,(036)762-4157,99547.21,2010-07-30
EMP-137448,Erik,Rangel,M,Facilities Manager,DEP-011,551.602.0008x962,65222.5,2011-02-02
EMP-140432,Christine,Brewer,F,IT Analyst,,395.924.0360x9472,78966.7,2014-03-13
EMP-141049,Edward,Pace,M,Facilities Manager,,145-024-7404x677,58754.17,2006-06-06
EMP-145000,Bruce,Terry,M,Billing Specialist,DEP-016,(542)844-7650,38684.46,2024-07-23
EMP-149104,Jennifer,Cain,F,Medical Receptionist,DEP-020,926-073-5615,42950.8,2005-01-06
EMP-151461,Stephanie,Hampton,F,Compliance Officer,DEP-011,001-921-905-7596x970,108288.01,2013-02-07
EMP-154118,Brenda,Shaw,F,HR Coordinator,DEP-010,(006)709-4550,54269.78,2011-11-14
EMP-157727,Heather,Jackson,F,Medical Coder,DEP-017,+1-724-102-1146x1949,46430.69,2023-05-04
EMP-157908,Danielle,Hernandez,F,Medical Coder,DEP-007,100.093.7323,56639.08,2016-03-05
EMP-160302,Anne,Alvarez,F,Quality Assurance Analyst,DEP-001,270-198-8393,59762.51,2015-09-01
EMP-161006,Darrell,Davila,M,Supply Chain Coordinator,,039-535-8687x58628,61713.32,2024-10-12
EMP-161733,Michael,Hansen,M,Supply Chain Coordinator,DEP-013,899.679.4292x6950,56890.07,2017-07-05
EMP-166808,Dylan,Johnson,M,Hospital Administrator,DEP-005,2130532857,159489.06,2006-07-12
EMP-173570,Lauren,Wilson,F,HR Coordinator,DEP-007,0793833427,54510.41,2015-01-09
EMP-175501,Crystal,Morris,F,Facilities Manager,,556.692.4682,61946.48,2016-08-09
EMP-175878,Jonathan,Mccullough,M,HR Coordinator,DEP-015,545-768-9069,67394.51,2021-12-06
EMP-175913,Amy,Mcintosh,F,Medical Coder,DEP-020,4973106009,45570.81,2018-10-03
EMP-175936,Laura,Lopez,F,Medical Receptionist,DEP-002,244-533-7300x7619,42471.41,2017-02-11
EMP-176689,Joseph,Keith,M,Compliance Officer,DEP-011,+1-525-576-3461x1801,74192.3,2023-07-14
EMP-180311,Monica,Sims,F,Hospital Administrator,DEP-006,607.191.4307x1370,141087.59,2011-11-02
EMP-180955,Roger,Dunn,M,Health Information Manager,DEP-001,+1-276-662-0288,87068.24,2012-05-18
EMP-184090,Steven,Stein,M,Hospital Administrator,,944-656-7415,112585.48,2012-09-25
EMP-189581,Jonathan,Morgan,M,Hospital Administrator,,9339173088,139210.03,2021-11-13
EMP-190193,Cynthia,Campbell,F,Medical Receptionist,DEP-009,001-851-453-8902x681,40487.37,2016-07-16
EMP-193121,John,Pitts,M,Hospital Administrator,DEP-014,001-754-247-2999x107,164092.56,2014-05-28
EMP-194266,David,Stein,M,IT Analyst,DEP-011,193-207-2596x774,70739.78,2014-07-17
EMP-195269,Emily,Smith,F,Compliance Officer,,001-194-228-5239,73734.55,2020-12-17
EMP-199110,Emma,Kelly,F,IT Analyst,DEP-020,090-352-6767,78736.84,2006-06-24
EMP-201160,Nancy,Noble,F,Facilities Manager,DEP-015,001-206-583-8862x768,63316.79,2013-09-18
EMP-201878,William,Hernandez,M,Medical Coder,,381.679.1619x076,61728.53,2014-10-17
