nurse_id,first_name,last_name,birth_date,gender,contact,position,department_id,hire_date
NUR-102259,Debra,Garcia,1996-10-28,F,(581)504-8451x98749,CRNA,DEP-018,2015-02-18
NUR-102660,Ann,Juarez,1972-05-28,F,943.743.9827,Nurse Informaticist,DEP-010,2000-03-24
NUR-103681,Jessica,Smith,1991-03-11,F,496.589.7541,ER,DEP-001,2021-10-04
NUR-105757,Tamara,Norton,1968-06-03,F,001-265-323-0238x520,Med-Surgical,DEP-020,2001-04-13
NUR-108164,Austin,Prince,1970-07-13,M,001-916-836-7041,CRNA,DEP-020,2010-03-13
NUR-108707,Annette,Figueroa,1965-06-10,F,+1-806-463-4531x111,Nurse Educator,DEP-004,2011-09-20
NUR-109079,Elizabeth,Brown,1985-11-23,F,001-213-450-1805x501,Nurse Practitioner,DEP-014,2023-11-20
NUR-109273,Kristin,Sweeney,1991-06-06,F,(741)991-0405x0336,Oncology Nurse,DEP-010,2004-06-17
NUR-110835,Jessica,Shields,1972-11-22,F,(215)548-4513x283,Med-Surgical,DEP-002,2004-04-30
NUR-111485,Kristen,Koch,1982-05-14,F,+1-104-180-7902x4337,Midwife,DEP-009,2004-04-14
NUR-111691,Karen,Martinez,2004-07-16,F,4855907458,Nurse Practitioner,DEP-003,2003-06-20
NUR-112592,Douglas,Hill,1990-04-08,M,3212105459,Nurse Educator,DEP-011,2000-12-07
NUR-113356,Patricia,Martin,1986-02-22,F,001-609-155-4806x566,Midwife,DEP-009,2023-10-03
NUR-116095,Katelyn,Hicks,1994-11-19,F,001-177-341-5980x396,RN,DEP-010,2012-04-13
NUR-116433,Michelle,Boyd,1968-12-06,F,136.733.2291x92258,ER,DEP-001,2005-01-15
NUR-118050,Nicole,Johnson,2000-03-28,F,066.537.1894,RN,DEP-002,2015-09-02
NUR-118872,Kimberly,Davis,1974-08-29,NB,(723)310-1731x0116,CRNA,DEP-001,2019-06-18
NUR-119391,Dana,Merritt,1977-05-04,F,+1-666-779-0414,CRNA,DEP-020,2009-08-21
NUR-120959,Linda,Small,1975-09-17,F,766-076-5015,Nurse Administrator,DEP-009,2020-05-04
NUR-121395,Luke,White,1964-08-11,M,001-753-623-0701x210,Midwife,DEP-009,2010-06-09
NUR-123454,Jennifer,Martinez,1979-03-26,F,001-613-302-4142,Midwife,DEP-009,2013-01-12
NUR-125359,Lisa,Ward,1976-07-16,F,340-014-4828x53857,Nurse Educator,DEP-013,2005-08-13
NUR-127004,Abigail,Mendoza,2000-10-06,F,251-388-0510,LPN,DEP-004,2013-06-14
NUR-127114,Marisa,Brown,2001-12-08,F,(118)763-4950x87986,Nurse Informaticist,DEP-019,2000-01-17
NUR-128563,Zachary,Martinez,1964-03-19,M,(595)978-2614x777,Med-Surgical,DEP-001,2004-02-23
NUR-129741,Tracey,Henderson,1964-02-13,F,0011017940,LPN,DEP-019,2000-03-17
NUR-130394,Jaime,Sanchez,1967-11-13,F,197.125.4722x720,RN,DEP-009,2010-02-27
NUR-130938,Jessica,Torres,2003-05-25,F,+1-105-638-0048x1941,Nurse Informaticist,DEP-003,2025-04-17
NUR-131727,Deborah,Ryan,1984-06-18,F,285-119-1650x81766,RN,DEP-002,2000-10-11
NUR-131865,Christina,Reynolds,2000-01-12,F,001-801-826-4768x182,LPN,DEP-005,2000-03-26
NUR-133881,Carl,Bryant,1962-08-28,M,001-154-447-1221x076,LPN,DEP-009,2008-11-29
NUR-134182,Bradley,Rodriguez,1976-09-27,NB,(480)725-9826,Med-Surgical,DEP-020,2011-08-21
NUR-135085,Shelia,Morrison,1986-11-10,F,423.239.9113,CRNA,DEP-001,2013-07-03
NUR-135906,Jennifer,Durham,1970-09-13,F,(704)489-6489,Nurse Informaticist,DEP-009,2005-05-24
NUR-136157,Kimberly,Ferguson,1975-11-05,F,024-310-2533x2338,Nurse Administrator,DEP-014,2025-06-28
NUR-136756,Charles,Webster,1982-04-20,M,808.564.5201x9615,Med-Surgical,DEP-004,2018-12-11
NUR-137452,Diana,Pope,1968-04-06,F,(799)161-3664x240,LPN,DEP-016,2006-08-07
NUR-137993,Lori,Flores,1998-02-23,F,302.566.8202,RN,DEP-002,2019-11-21
