patient_id,first_name,last_name,ssn,birth_date,age,gender,blood_type,phone,email,address,city,state,zip_code,country,registered_date
PAT-100122,Rachel,Hines,850-33-7989,1966-12-08,59,NB,A-,(020)795-5914,yrobinson@example.org,652 Angel Rapid,West Maryton,VA,60161,USA,2025-08-30
PAT-100615,Lori,Saunders,532-76-5819,1990-07-04,36,F,O+,419-734-8607,gibsonjessica@example.com,0756 Dunn Hill Suite 790,North Lisaborough,FL,73908,USA,2019-10-17
PAT-100693,Charles,Mahoney,384-78-0719,1979-10-03,46,M,O+,935-037-9898x7593,jennifer22@example.net,12074 Padilla Parkway,East Robertton,ND,97061,USA,2019-08-06
PAT-100796,Karla,Lewis,480-06-5746,1986-01-01,40,F,O+,(623)916-9387x6049,carolyn89@example.com,929 Timothy Lock Apt. 486,Skinnerburgh,FL,76846,USA,2021-01-26
PAT-101102,Alexis,Huerta,365-23-0427,1962-09-02,63,F,O+,281.550.1141,tgolden@example.com,65727 Jeffrey Flats,Lake Aaronton,MA,26711,USA,2026-08-09
PAT-101133,Daniel,Shepard,531-11-3685,2017-10-25,8,M,A+,8498330224,,59195 Teresa Oval,Whiteville,ME,55625,USA,2026-08-09
PAT-101203,Amanda,Walker,138-10-6738,1948-12-22,77,F,O+,9228937099,amcintosh@example.org,93300 Lisa Extension,Frankberg,NV,35580,USA,2020-02-14
PAT-101249,Matthew,Clark,428-03-9558,2024-12-02,1,M,A-,+1-428-234-6195x1144,,0565 Cody Groves Apt. 753,Johnberg,FL,25731,USA,2020-07-27
PAT-101329,Richard,Perry,366-19-5321,1996-12-13,29,M,A+,674-574-6995x6955,sara07@example.org,2414 Watts Summit Apt. 431,Robinsonfurt,FL,42766,USA,2019-04-24
PAT-101724,Angel,Hood,651-55-0364,2011-07-25,15,F,O-,212-100-4687x9752,williamsbruce@example.com,4255 Everett Path Suite 222,Lake Dawnview,ND,37622,USA,2021-03-26
PAT-101725,Lori,Newton,185-85-7824,2017-04-03,9,F,O+,(736)086-3339x9506,,676 Laura Junctions Suite 080,West Marieton,AL,89469,USA,2024-04-23
PAT-101730,George,Hall,316-79-0783,1931-06-11,95,M,O+,(020)947-2311x66271,ssmith@example.net,212 Carson Cove,Walkerberg,ND,15887,USA,2026-08-09
PAT-101921,George,Watson,247-53-5450,1944-12-06,81,M,A-,435-929-6539x764,donaldwalker@example.com,743 Wilson Trace,Frazierville,FL,95451,USA,2026-08-03
PAT-102034,Michelle,Chen,384-80-6963,1964-04-09,62,F,A-,+1-633-387-4699x1930,woodkyle@example.org,1429 Angela Creek Apt. 592,Thomasland,FL,43008,USA,2021-12-27
PAT-102064,John,Friedman,765-86-6256,2012-07-30,14,M,A+,585.987.7157x3335,walterporter@example.net,38940 Kim Street,Erikamouth,NE,50284,USA,2021-04-25
PAT-102070,Patricia,Meadows,069-04-2220,1926-02-07,100,F,O-,+1-879-687-7919,dennis15@example.org,196 Gina Divide Suite 017,Fostertown,FL,46100,USA,2020-01-06
PAT-102074,Makayla,Spears,306-18-2387,2023-01-08,3,F,B+,922-430-2320x001,,78928 Joseph Freeway,Bryanshire,WY,64504,USA,2026-06-16
PAT-102335,Beth,Harris,640-33-4334,1957-01-14,69,F,O+,241-606-6946x537,smithjacob@example.org,889 Benjamin Passage,Darleneburgh,N/A,31055,NO,2021-04-03
PAT-102345,Sarah,Abbott,582-63-4044,2008-02-12,18,F,O+,+1-670-710-6011x303,francismooney@example.org,4337 Flores Viaduct,Milesmouth,FL,52813,USA,2019-11-18
PAT-102599,Brent,Mendez,579-51-4455,1978-06-25,48,M,B+,+1-045-500-2993x851,shannonromero@example.net,02536 John Crest,Debrafort,VA,89186,USA,2020-09-29
PAT-102654,Matthew,Sparks,315-82-0515,1951-05-03,75,M,O+,(350)335-8486x54281,emilymarshall@example.com,70908 Zachary Trace,West Benjamin,FL,57202,USA,2025-04-25
PAT-102823,Adam,Sanchez,849-02-5104,1932-06-27,94,M,B+,418-403-9822x18039,klong@example.net,85886 Fuller Square,Lake Seanside,FL,02132,USA,2024-08-21
PAT-103150,Beth,Johnson,220-55-0748,1963-05-13,63,F,O-,941.184.9135x99285,kathleen35@example.net,05610 Rick Oval Apt. 069,Hahnside,NY,08206,USA,2025-09-29
PAT-103173,Mary,Zimmerman,325-23-0693,1968-06-25,58,F,O+,998-094-9769x873,gonzalezbrittany@example.net,6984 Robert Light,East Javierport,IA,06937,USA,2024-10-10
PAT-103659,Russell,Fowler,074-45-0860,1935-07-07,91,M,AB+,323.080.7730x6035,whiteaustin@example.com,5458 Clayton Common Apt. 234,Alyssamouth,FL,96355,USA,2025-01-28
PAT-103666,Kevin,Contreras,035-50-5272,1972-06-12,54,M,O+,(532)932-4448,joshuabrooks@example.net,0897 Flores Valleys Suite 728,Lake Marcomouth,KS,04117,USA,2021-02-19
PAT-103766,Michael,Vargas,263-76-9684,2012-07-17,14,M,O+,757.927.0855,jillianjames@example.com,3448 Morales Stream,Lake Danielmouth,FL,60935,USA,2026-08-09
PAT-103802,Shawna,Ellis,164-22-4569,1936-04-29,90,F,AB+,001-816-449-1243x545,barbarathompson@example.com,95530 Barrett Island Suite 276,Diaztown,OH,48163,USA,2025-03-06
PAT-103941,Mary,Baker,779-98-9841,1947-03-08,79,F,O+,6049650669,kdouglas@example.net,16823 Jonathan Oval,North Jose,FL,22227,USA,2020-07-03
PAT-103988,Madison,Harris,695-18-5591,1976-06-13,50,F,AB-,068.471.0714x4765,hoffmanbrenda@example.org,013 Schaefer Trail Suite 532,New Christopher,FL,50572,USA,2025-09-01
PAT-104019,Sean,Williams,588-93-6345,2005-12-17,20,M,A-,(318)364-7462x19828,lgarcia@example.net,91061 Levine Coves Apt. 432,Williamton,FL,27599,USA,2020-01-24
PAT-104159,Terri,Kelly,212-59-2317,1968-08-25,57,F,B+,4505612775,tricia64@example.com,862 Thompson Crest Suite 921,Lake Reginald,WY,91106,USA,2020-07-13
PAT-104195,Debbie,Kaufman,345-35-8049,1977-10-09,48,F,O-,9624454971,tbenitez@example.org,05383 Nicole Curve Suite 561,Port Matthew,FL,29752,USA,2025-02-19
PAT-104260,Eric,King,688-22-9568,1968-06-11,58,M,O+,(786)321-1851,dawnholland@example.net,834 Gabriela Path,Staceymouth,MD,33002,USA,2022-10-11
PAT-104394,Charles,Reeves,658-65-6309,1958-03-25,68,M,A-,0320319789,millerlindsey@example.org,47131 Adkins Radial,Gillside,AZ,54888,USA,2019-03-19
PAT-104437,Joshua,Singleton,401-05-8521,1960-03-21,66,M,A+,001-232-299-0532,elizabethjackson@example.net,0361 Christine Drive,Hernandezborough,UT,35669,USA,2026-05-15
PAT-104495,Julia,Black,481-94-7987,2008-10-29,17,NB,A+,+1-698-796-0870x9993,isabella76@example.org,77077 Kristina Garden,Lake Wendychester,WA,56912,USA,2026-07-03
PAT-104715,Paul,Sanchez,175-31-0913,2006-03-20,20,M,O+,+1-343-791-6887,tamaragarrett@example.net,855 David Spur Apt. 524,New Duane,MN,36528,USA,2026-07-30
PAT-104887,Elizabeth,Marsh,582-73-6142,1970-02-02,56,F,A+,239-728-3512,audrey72@example.net,0908 Lindsay Inlet,Danielburgh,AZ,77847,USA,2022-02-21
PAT-104975,Amy,Moore,031-20-8311,2008-06-12,18,F,A+,007.110.6480x232,emily86@example.net,88148 Weaver Rapids,Paulmouth,FL,34860,USA,2022-04-29
PAT-105033,Justin,White,858-35-3854,1981-05-21,45,M,A-,(654)951-8981,qmason@example.com,79154 Richard Point Apt. 345,Amandaborough,FL,04252,USA,2020-09-05
PAT-105036,Robert,Williams,548-31-5277,1946-12-19,79,M,A+,001-578-808-3526,jessicawest@example.net,6067 Raymond Lakes,New Christopherfort,FL,96146,USA,2022-08-04
PAT-105063,Carolyn,Gonzalez,614-10-2171,2024-10-14,1,F,O+,001-100-648-5152,,1715 Crystal Valley Suite 095,North Kristenmouth,NJ,72325,USA,2021-08-04
PAT-105283,Samuel,Byrd,005-14-4287,1945-06-01,81,M,A+,(897)735-3686x66961,lburton@example.com,9110 Watts Trail Suite 835,Port Jenniferchester,FL,63178,USA,2018-12-02
PAT-105544,Lindsay,Butler,464-28-3280,1979-04-09,47,F,O+,671-988-4661,johnandrews@example.com,918 Jessica Walks,Jacobview,SC,81006,USA,2020-06-09
PAT-105618,Jamie,Gonzalez,346-76-7835,2009-01-09,17,F,A+,(079)431-3272,lintimothy@example.com,522 Carly Port,Bellborough,MS,88438,USA,2026-08-09
PAT-105624,Erica,Kennedy,845-19-8638,1995-09-06,30,F,AB+,(617)110-8623x492,alanaustin@example.com,591 Jill Common Apt. 376,East Larry,MA,87994,USA,2024-09-16
PAT-105630,Toni,Williams,893-18-2930,2019-01-12,7,F,O+,(053)220-8939,,0898 Kelly Lights Apt. 710,West Theodoreside,HI,24271,USA,2021-12-16
PAT-105677,Justin,Cruz,502-29-2507,2007-01-13,19,M,O+,001-597-521-2246x556,beverly89@example.org,190 Adam Canyon,Port Thomasmouth,MO,07886,USA,2021-12-29
PAT-105944,John,Hall,218-19-1205,2026-08-04,0,M,B+,571-440-3308,,213 Andrews Curve,Davisstad,MS,51645,USA,2026-08-09
PAT-105947,Beth,Francis,092-67-0057,2001-12-12,24,F,A+,900.774.8510x175,boltonmelissa@example.com,2690 Michael Corner,North Christopherview,FL,12176,USA,2019-01-27
PAT-106046,Kenneth,Olson,105-85-4901,1991-11-18,34,M,A+,(149)514-9558x387,patrickjohnson@example.com,661 Amanda Garden,South Mariaport,LA,69898,USA,2021-09-03
PAT-106224,Tina,Navarro,359-06-0184,2012-02-13,14,F,A+,+1-711-004-3802x1303,jacob21@example.com,75605 Larry Haven,Andrewland,CT,43671,USA,2026-08-09
PAT-106504,Juan,Freeman,178-88-4423,1960-08-12,65,M,A+,001-467-771-5986x898,timothy76@example.org,7052 Young Lodge,East Brittany,FL,34886,USA,2025-01-29
PAT-106674,Ryan,Mercer,721-22-6043,1943-04-06,83,M,A-,318-328-1231x2392,simsclaire@example.org,018 Robert Overpass Apt. 387,Andrewburgh,WY,62322,USA,2020-02-22
PAT-106897,Dominic,Kramer,637-81-9584,1996-05-05,30,M,A+,5053664277,lisa21@example.com,99572 Kimberly Causeway,New Bryanville,GA,14384,USA,2023-03-07
PAT-106918,Jessica,Hall,527-83-4601,1993-11-26,32,F,A+,222.591.3651,eleonard@example.org,603 David Ramp,East Crystal,TN,05637,USA,2020-07-23
PAT-106945,Ryan,Watson,323-64-9413,1999-04-19,27,M,O-,728-463-9208x678,shawphillip@example.net,1875 Alexander Fords,Carpentermouth,OH,47896,USA,2024-09-10
